Sample,logFC,pval,pval_corr,log_pval
TCEA1,0.29207632290585117,2.049830403878164e-20,4.2083018191618706e-16,15.375893120162313
MGC57346,0.21319974178853407,3.7976813783852824e-11,7.796639869824984e-07,6.1080925255664065
COX4I2,0.05646451668139374,0.8975017563435994,1.0,-0.0
COX4I1,0.026968411172838103,0.5180908578248278,1.0,-0.0
BFAR,0.2923773497852622,1.5515963399156698e-23,3.18542728584687e-19,18.496832304164073
ZC3H18,0.32581960196977633,8.525602735192651e-50,1.7503062415350512e-45,44.7568859585291
TMEM212,-1.9590030058444732,6.498970327172815e-34,1.334238608168579e-29,28.874766496548094
SNORD115-13,0.021890131015025474,0.37767132888979893,1.0,-0.0
TCEB3B,0.4075024732127216,3.083415983840717e-06,0.06330253014824992,1.1985789312549449
SIPA1,0.46163420662766796,2.008442716770993e-24,4.123332897530848e-20,19.384751600991905
CRTAM,0.005852989417716614,0.9530478856559981,1.0,-0.0
EDA,-0.08461498094072528,0.4255286146625332,1.0,-0.0
OR6P1,0.015895785898677996,0.13185371043754612,1.0,-0.0
CCDC116,0.2867734664221451,4.037852956780896e-06,0.08289712120271178,1.0814605510840498
CADPS2,-0.6804622858665574,3.0026378307331085e-63,6.164415466495072e-59,58.21010809858346
CCDC114,-0.33478533288145673,0.057981371707554,1.0,-0.0
CCDC115,-0.13993585534270814,2.9970498749922576e-13,6.1529433933591044e-09,8.210917080371887
CCDC112,0.2974311876748592,1.0149480104592719e-16,2.0836882654728853e-12,11.681167254044148
CCDC113,-0.07869856913285922,0.16985587721459863,1.0,-0.0
CCDC110,-0.3605669146195556,2.370562570845781e-10,4.866764957946389e-06,5.312759627648376
CCDC111,-0.17428850689418063,7.627931005399256e-14,1.5660142354084672e-09,8.80520429442926
LEO1,0.3397225067164218,8.507231087960651e-31,1.7465345423583217e-26,25.75782282061479
ATP1A4,0.4366420456929445,0.1396138036098937,1.0,-0.0
ATP1A3,1.8144729208893793,4.26412396619387e-06,0.08754246502596015,1.0577812286607635
ATP1A2,0.3045191833989431,0.26010225822012983,1.0,-0.0
ATP1A1,-0.8141849790641373,9.687277766786189e-92,1.9887981255212047e-87,86.70140929803277
KGFLP2,-0.3721604653731072,2.288352290967315e-16,4.697987253355898e-12,11.32808816589062
MGRN1,0.2977228012656852,2.1979951976902777e-24,4.51248414085814e-20,19.345584311413134
TCP1,0.2912648740102952,1.851266437930779e-22,3.800649997071889e-18,17.420142122856557
CRTAP,-0.21814416168485806,1.0624421925938909e-11,2.181193821395258e-07,6.66130574119691
CBLC,0.5154665443850188,2.1902928163626792e-07,0.004496671151992581,2.3471088718487985
SPHK1,1.2594997471323,1.6508704738408842e-24,3.389237082795335e-20,19.469898050475564
DPT,-2.7698115719577707,1.3736203173528577e-160,2.8200425115254167e-156,155.54974434473675
BPESC1,0.2287763555288596,0.10633498053311595,1.0,-0.0
CUEDC1,0.08376256002317817,0.03275545976037164,1.0,-0.0
CUEDC2,0.24642629645522796,1.9327451123087033e-14,3.967925715569768e-10,9.401436466966478
CBLB,0.28862805508649814,2.466673331117323e-15,5.064080348783864e-11,10.295499412240972
CPEB4,-0.8144365617822285,2.0873688018348745e-89,4.2853681501669973e-85,84.36801186248803
CPEB1,0.7750620770352157,0.0022457943625718256,1.0,-0.0
ZNF45,-0.09029928691865496,0.00036671416934424184,1.0,-0.0
CPEB3,-1.1719924601009595,1.3477742134540842e-244,2.766980460221235e-240,239.55799390773583
CPEB2,-0.14831513002422803,0.007479774733193872,1.0,-0.0
BEGAIN,1.1898259568614522,7.637789682087756e-05,1.0,-0.0
RBMXL3,1.2700224849056012,0.06241999954498847,1.0,-0.0
OSGEP,0.20496737189466074,1.2300140945878238e-15,2.5252189361888022e-11,10.597700962631762
ABAT,-0.9029994540267356,7.818399688596025e-28,1.6051174560687638e-23,22.79449318216496
LOC100129637,0.5429093301974239,4.272008939729325e-36,8.770434353264304e-32,31.056978897790778
ZNF780A,-0.04733369555702005,0.08240317001572713,1.0,-0.0
ZNF780B,-0.06369131001523698,0.08727019032321923,1.0,-0.0
TLN2,-0.9824536185812747,5.309630493724656e-113,1.0900671403616718e-108,107.96254675179279
FRG1,-0.01895681962863982,0.4352344654878112,1.0,-0.0
FRG2,-0.3552160997832755,0.3867985516779592,1.0,-0.0
RHEBL1,1.625958882994082,2.1633815487596065e-54,4.441422319603472e-50,49.352477929291275
ZNF41,-0.14792279378234774,1.3128921599697313e-08,0.00026953676044178584,3.569381995715474
IFT80,0.13884371872961765,3.6370246926872605e-05,0.7466811694086946,0.12686480102880213
FBRS,0.3248571218792833,3.5127414493861126e-39,7.21165819558969e-35,34.14196486532277
ZNF414,0.4249283325311328,3.5778747684881052e-25,7.34537689970608e-21,20.13398591515445
IFT88,-0.37776026305738775,9.7491040531488e-41,2.0014910621114488e-36,35.69864634494651
IL10RA,-0.0662077771401588,0.32629503918017777,1.0,-0.0
POU5F1B,2.139703475234942,0.0001642721787175259,1.0,-0.0
SP1,-0.031178883578785843,0.16861231488683734,1.0,-0.0
SLC27A4,0.026190647229347164,0.5446249550157516,1.0,-0.0
SP2,-0.17209207023422834,4.5740381135949685e-18,9.39050024721047e-14,13.027311271544725
OLA1,0.4455252147999502,2.890692480725069e-56,5.9345916629285665e-52,51.226609157861496
PNOC,1.2997113244559495,0.014656111541515582,1.0,-0.0
CNTF,0.21561584369135378,0.03872776120722841,1.0,-0.0
MCM10,2.743149436217074,1.1288709734752664e-91,2.317572108544722e-87,86.63496674440854
PDIA5,0.046147560619658634,0.34493435728303135,1.0,-0.0
SP4,-0.18742670429073005,8.124951482943743e-08,0.0016680525394483503,2.777790274301908
TMEM38B,-0.3854494877057313,4.4194869381560394e-16,9.073206684034348e-12,11.042239195954723
THUMPD3,0.16705310712547927,4.8181189591020526e-17,9.891598223036514e-13,12.004733532126941
IGFBPL1,0.2048505660661908,0.2860657517096608,1.0,-0.0
SP5,1.4056363838025794,4.7050729235338444e-07,0.009659514712014983,2.015044691719922
ATG4C,-0.11564158453537399,1.2047871644708276e-06,0.02473428048658609,1.6067007186230367
ATG4B,0.37265863999585314,7.60245543922852e-45,1.560784101673615e-40,39.806657167364556
ATG4A,-0.26967103644058454,2.2524092906198408e-24,4.624196273642533e-20,19.334963740601616
THUMPD2,0.3860826058818949,9.098279073153984e-46,1.867876693718513e-41,40.72865179673824
LOC441208,0.15511961145408293,0.012080894768354155,1.0,-0.0
ATG4D,0.25242870326102107,6.986809768920515e-11,1.4343920455593816e-06,5.843332131825158
PHOX2A,4.661979262916824,0.0007755486373474997,1.0,-0.0
PHOX2B,3.6710013166066795,0.0011499017099390843,1.0,-0.0
SNORD114-31,0.0,1.0,1.0,-0.0
SNORD114-30,0.0,1.0,1.0,-0.0
LRGUK,0.6398002816438195,6.468656226642204e-05,1.0,-0.0
MPHOSPH8,-0.4037656640814369,3.641759661511045e-70,7.476532585082175e-66,65.12629976955591
UPK2,2.675261240602312,0.011661384657641815,1.0,-0.0
CFH,-1.0630536769119914,1.3770976990527866e-15,2.827181576155371e-11,10.548646297987329
CFI,-1.1670094088563197,1.430860022507268e-47,2.937555626207421e-43,42.53201390074533
PNP,-0.3109838642704279,3.4070952976956214e-11,6.994766646169111e-07,6.155226769516907
ANKFY1,-0.029150606249494615,0.30565838151850416,1.0,-0.0
C1orf14,1.2011600852347482,0.0031211368763646064,1.0,-0.0
CFB,-0.8041899021170824,6.7289592558237805e-09,0.00013814553352206222,3.859663151993069
OR5P3,-0.0924848670824743,0.004792466614214208,1.0,-0.0
OR5P2,-0.13766104743157748,4.158517003048267e-05,0.8537435407258093,0.06867256909401283
MLLT4,-0.48692019866073544,1.0074235893839062e-51,2.0682406290051594e-47,46.68439893474171
SNORD115-6,0.0,1.0,1.0,-0.0
CREBBP,-0.012780793265040558,0.598427902407727,1.0,-0.0
PNN,0.3544311009690073,8.534787812492547e-29,1.75219193790472e-24,23.75641832225061
PHYHIPL,1.3361596308018795,8.509699123339813e-08,0.0017470412300216638,2.7576968455839803
ATP6V0E1,-0.042757131077340915,0.0942383579752242,1.0,-0.0
ATP6V0E2,0.43222916468283934,9.599250021580215e-08,0.001970726029430418,2.7053737471953254
RNF128,-0.42223878994162867,8.272120623494315e-09,0.00016982663640033828,3.7699941919810858
CFP,-1.0882620937734435,3.4547604131228783e-15,7.09262312814127e-11,10.149193116101985
AAAS,0.44618606103661307,4.196720712607091e-70,8.615867622982358e-66,65.06470098230176
HAMP,-3.9539078453034664,9.382914279975562e-58,1.926312301678983e-53,52.71527330189437
ZNF394,0.1374159922745548,2.765316129620825e-07,0.005677194014111554,2.2458662638125837
SIDT1,0.07309264489919887,0.3844518077115687,1.0,-0.0
SERPINA10,-2.0786295565538726,2.0453483270637035e-35,4.199100115461783e-31,30.37684377073613
SIDT2,-0.6045576840238329,4.75688436208823e-104,9.765883595367137e-100,99.01028845660227
SNORD115-7,0.005575013911756396,0.5436672300539002,1.0,-0.0
TAF8,0.004821485882253285,0.8624160062512466,1.0,-0.0
PISRT1,0.02345600851227977,0.14315381094664625,1.0,-0.0
SIX4,1.122130165558982,3.6969482753643467e-32,7.589834809323004e-28,27.119767676302175
LOC283070,-0.03469388381559746,0.5255852768965227,1.0,-0.0
SIX6,1.5985244759832877,0.040383031219500216,1.0,-0.0
PM20D1,0.6424986294233923,0.4288644068188252,1.0,-0.0
MR1,0.07453915669350408,0.04964917537566399,1.0,-0.0
MGC4473,2.3048421387494002,0.016111826173710844,1.0,-0.0
SIX3,2.7744629445222366,1.797380070521226e-06,0.03690021284780077,1.4329711287363662
SNORD115-4,0.0,1.0,1.0,-0.0
WASH3P,0.42636486965202103,1.0566069338895834e-20,2.1692140352753146e-16,15.663697594249998
CNPY4,0.33151218955953965,1.4083838966299388e-13,2.8914121397812646e-09,8.53888999989779
CNPY3,0.6027795308313646,1.2960277232217527e-47,2.6607449157742584e-43,42.57499675903816
CNPY2,0.5543069896187216,8.091084703589859e-55,1.661099689646998e-50,49.77960430291018
CNPY1,1.82392477790503,0.003685553019932716,1.0,-0.0
NODAL,2.0459210842952826,0.007662882670515345,1.0,-0.0
SYNJ1,-0.08411655192735346,0.08745634143296949,1.0,-0.0
KNDC1,0.32954080333521407,0.017915779748621827,1.0,-0.0
HMG20A,0.13098247287288523,0.000162986599041316,1.0,-0.0
HMG20B,0.5834719444774734,4.004028805339737e-27,8.22027113736248e-23,22.085113857457717
PHOSPHO2,-0.13121156836238157,0.002503173686912601,1.0,-0.0
AAGAB,0.2311324898792595,8.47792854745577e-19,1.7405187307926696e-14,13.759321298644487
C4orf19,-0.9581213807846618,3.225358676312716e-65,6.621661362470006e-61,60.17903303321415
C3orf79,0.38556076180523857,0.4418508211204317,1.0,-0.0
SLC7A6OS,0.23759346273523008,3.0080491095437873e-19,6.175524821893395e-15,14.209326128340862
C3orf77,0.20703398116864324,0.024801867887579297,1.0,-0.0
C3orf75,0.07775237141134284,0.003804941394122443,1.0,-0.0
C3orf74,0.5455440456987974,0.021574334880392676,1.0,-0.0
C4orf10,0.15827073688877746,8.58772617223393e-08,0.0017630601831596258,2.7537328625344735
C3orf72,-0.5444440497823964,0.008699121280922826,1.0,-0.0
C3orf71,-0.015507519908703138,0.6815285881971733,1.0,-0.0
C3orf70,-0.0012806639189584246,0.9908254229162619,1.0,-0.0
ZNF285,0.12938908585504372,0.01043601835816896,1.0,-0.0
